timestamp,symbol,decision,confidence,action,size,distance_to_action,direction,rank,top_opportunity,balance,pnl,trade_pnl,explanation
2026-06-23T17:10:59.228403+00:00,AVAXUSDT,WATCH,67.2,WATCH,0.0,4.8,toward_buy,1,True,10000.0,0.0,0.0,"WATCH signal at 67.2% confidence (4.8 points below BUY threshold). Dominant: macro.
  - macro (30% weight, score 69): Macro data unavailable — neutral
  - technical (30% weight, score 69): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 63): No AVAX-specific headlines — news neutral
  - intel (10% weight, score 63): Market intel data unavailable — neutral"
2026-06-23T17:10:59.233408+00:00,DOGEUSDT,WATCH,66.8,WATCH,0.0,5.2,toward_buy,2,False,10000.0,0.0,0.0,"WATCH signal at 66.8% confidence (5.2 points below BUY threshold). Dominant: macro.
  - macro (30% weight, score 68): Macro data unavailable — neutral
  - technical (30% weight, score 68): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 62): No DOGE-specific headlines — news neutral
  - intel (10% weight, score 66): Market intel data unavailable — neutral"
2026-06-23T17:10:59.237402+00:00,SOLUSDT,WATCH,66.1,WATCH,0.0,5.9,toward_buy,3,False,10000.0,0.0,0.0,"WATCH signal at 66.0% confidence (6.0 points below BUY threshold). Dominant: macro.
  - macro (30% weight, score 68): Macro data unavailable — neutral
  - technical (30% weight, score 66): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 62): No SOL-specific headlines — news neutral
  - intel (10% weight, score 64): Market intel data unavailable — neutral"
2026-06-23T17:10:59.241406+00:00,BGBUSDT,WATCH,65.9,WATCH,0.0,6.1,toward_buy,4,False,10000.0,0.0,0.0,"WATCH signal at 66.0% confidence (6.0 points below BUY threshold). Dominant: macro.
  - macro (30% weight, score 68): Macro data unavailable — neutral
  - technical (30% weight, score 66): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 62): No BGB-specific headlines — news neutral
  - intel (10% weight, score 64): Market intel data unavailable — neutral"
2026-06-23T17:10:59.244405+00:00,ETHUSDT,WATCH,61.7,WATCH,0.0,10.3,toward_buy,5,False,10000.0,0.0,0.0,"WATCH signal at 61.7% confidence (10.3 points below BUY threshold). Dominant: macro.
  - macro (30% weight, score 63): Macro data unavailable — neutral
  - technical (30% weight, score 62): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 50): 5 ETH-specific headlines — 0 bullish / 0 bearish
  - intel (10% weight, score 60): Market intel data unavailable — neutral"
2026-06-23T17:10:59.247401+00:00,BTCUSDT,WAIT,48.9,WAIT,0.0,20.9,neutral,6,False,10000.0,0.0,0.0,"WAIT signal at 48.9% confidence (20.9 points above SELL threshold). Dominant: macro.
  - macro (30% weight, score 51): Macro data unavailable — neutral
  - technical (30% weight, score 49): Insufficient candle data — neutral
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 10): 9 BTC-specific headlines — 0 bullish / 5 bearish
  - intel (10% weight, score 47): Market intel data unavailable — neutral"
2026-06-23T17:21:37.932890+00:00,SOLUSDT,WATCH,38.5,WATCH,0.0,10.5,toward_sell,1,True,10000.0,0.0,0.0,"WATCH signal at 38.5% confidence (10.5 points above SELL threshold). Dominant: technical.
  - macro (30% weight, score 24): Peer basket 24h -2.97%, funding 0.0039% — regime bearish
  - technical (30% weight, score 47): RSI 21.2, EMA9/21 downtrend (gap -1.35%)
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 35): No SOL-specific headlines — news neutral
  - intel (10% weight, score 5): SOLUSDT 24h -5.32% — distributing"
2026-06-23T17:21:37.937889+00:00,BTCUSDT,WATCH,39.1,WATCH,0.0,11.1,toward_sell,2,False,10000.0,0.0,0.0,"WATCH signal at 39.2% confidence (11.2 points above SELL threshold). Dominant: technical.
  - macro (30% weight, score 23): Peer basket 24h -3.40%, funding 0.0005% — regime bearish
  - technical (30% weight, score 55): RSI 20.5, EMA9/21 downtrend (gap -0.67%)
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 21): 9 BTC-specific headlines — 1 bullish / 6 bearish
  - intel (10% weight, score 5): BTCUSDT 24h -3.08% — distributing"
2026-06-23T17:21:37.945427+00:00,DOGEUSDT,WATCH,39.3,WATCH,0.0,11.3,toward_sell,3,False,10000.0,0.0,0.0,"WATCH signal at 39.2% confidence (11.2 points above SELL threshold). Dominant: technical.
  - macro (30% weight, score 23): Peer basket 24h -3.01%, funding 0.0010% — regime bearish
  - technical (30% weight, score 50): RSI 17.0, EMA9/21 downtrend (gap -1.23%)
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 36): No DOGE-specific headlines — news neutral
  - intel (10% weight, score 5): DOGEUSDT 24h -5.09% — distributing"
2026-06-23T17:21:37.950279+00:00,ETHUSDT,WAIT,40.3,WAIT,0.0,12.3,neutral,4,False,10000.0,0.0,0.0,"WAIT signal at 40.3% confidence (12.3 points above SELL threshold). Dominant: technical.
  - macro (30% weight, score 22): Peer basket 24h -3.15%, funding -0.0005% — regime bearish
  - technical (30% weight, score 50): RSI 19.1, EMA9/21 downtrend (gap -1.11%)
  - sentiment (20% weight, score 66): F&G 23/100 (Extreme Fear), funding 0.0000%
  - news (10% weight, score 50): 6 ETH-specific headlines — 0 bullish / 0 bearish
  - intel (10% weight, score 5): ETHUSDT 24h -4.43% — distributing"
